id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
804,Clouds,overcast clouds,04d,stations,10000,1746087238,19800,Port Blair,200,92.75,11.6667,30.07,34.97,30.07,30.07,1009,69,1009,1005,1.94,235,1.95,100,IN,1746055786,1746100936,0,0,2025-05-01 08:13:58
800,Clear,clear sky,01d,stations,10000,1746087238,19800,Chirala,200,80.3522,15.8238,32.81,37.7,32.81,32.81,1008,56,1008,1007,5.86,143,4.84,3,IN,1746058471,1746104202,0,0,2025-05-01 08:13:58
800,Clear,clear sky,01d,stations,10000,1746087238,19800,Kondapalle,200,80.3667,16.5667,40.3,42.83,40.3,40.3,1006,28,1006,1001,4.91,173,4.43,1,IN,1746058415,1746104251,0,0,2025-05-01 08:13:58
800,Clear,clear sky,01d,stations,10000,1746087238,19800,Guntur,200,80.4573,16.2997,38.36,41.2,38.36,38.36,1007,33,1007,1003,6.13,161,3.9,1,IN,1746058412,1746104210,0,0,2025-05-01 08:13:58
801,Clouds,few clouds,02d,stations,10000,1746087238,19800,Hindupur,200,77.4914,13.8281,36.36,35.14,36.36,36.36,1007,23,1007,935,0.91,50,3.21,13,IN,1746059298,1746104748,0,0,2025-05-01 08:13:58
800,Clear,clear sky,01d,stations,10000,1746087238,19800,Kothapet,200,79.4661,19.3316,41.3,40.91,41.3,41.3,1005,19,1005,978,3.72,175,3.89,0,IN,1746058429,1746104669,0,0,2025-05-01 08:13:58
803,Clouds,broken clouds,04d,stations,10000,1746086826,19800,Ramanayyapeta,200,82.236,16.9606,34.16,38.4,34.16,34.16,1008,49,1008,1007,3.72,112,2.28,70,IN,1746057938,1746103831,0,0,2025-05-01 08:07:06
800,Clear,clear sky,01d,stations,10000,1746087239,19800,Alampur,200,78.036,15.8289,39.99,39.06,39.99,39.99,1005,19,1005,971,1.15,239,1.82,5,IN,1746059027,1746104758,0,0,2025-05-01 08:13:59
801,Clouds,few clouds,02d,stations,10000,1746087239,19800,Machilipatnam,200,81.1389,16.1875,34.28,40.88,34.28,34.28,1007,55,1007,1007,7.92,123,6.27,21,IN,1746058257,1746104039,0,0,2025-05-01 08:13:59
800,Clear,clear sky,01d,stations,10000,1746087239,19800,Nandyal,200,78.4836,15.478,40.29,40.46,40.29,40.29,1005,22,1005,981,2.79,205,3.51,0,IN,1746058944,1746104626,0,0,2025-05-01 08:13:59
800,Clear,clear sky,01d,stations,10000,1746087239,19800,Nellore,200,79.987,14.4499,37.69,41.87,37.69,37.69,1006,38,1006,1004,8.12,107,5.46,7,IN,1746058656,1746104192,0,0,2025-05-01 08:13:59
800,Clear,clear sky,01d,stations,10000,1746087239,19800,Ongole,200,80.0445,15.5036,34.54,39.6,34.54,34.54,1007,50,1007,1005,6.46,121,5.0,7,IN,1746058568,1746104253,0,0,2025-05-01 08:13:59
800,Clear,clear sky,01d,stations,10000,1746087239,19800,Proddatur,200,78.5481,14.7502,40.19,40.66,40.19,40.19,1005,23,1005,985,0.16,45,1.31,5,IN,1746058980,1746104559,0,0,2025-05-01 08:13:59
800,Clear,clear sky,01d,stations,10000,1746087239,19800,Rajahmundry,200,81.7778,17.0052,37.27,41.39,37.27,37.27,1007,39,1007,1003,5.85,117,3.79,0,IN,1746058045,1746103944,0,0,2025-05-01 08:13:59
802,Clouds,scattered clouds,03d,stations,10000,1746087239,19800,Akkarampalle,200,79.4199,13.6355,39.51,41.0,39.51,39.51,1006,27,1006,970,4.04,144,5.31,27,IN,1746058849,1746104272,0,0,2025-05-01 08:13:59
801,Clouds,few clouds,02d,stations,10000,1746087239,19800,Alipur,200,83.2977,17.7041,30.69,35.69,30.69,30.69,1009,66,1009,1003,4.65,148,3.78,18,IN,1746057629,1746103630,0,0,2025-05-01 08:13:59
801,Clouds,few clouds,02d,stations,10000,1746087239,19800,Vizianagaram,200,83.3977,18.1133,34.62,40.94,34.62,34.62,1008,53,1008,1001,6.26,144,3.82,12,IN,1746057575,1746103636,0,0,2025-05-01 08:13:59
804,Clouds,overcast clouds,04d,stations,10000,1746087240,19800,Naharlagun,200,93.692,27.1023,24.32,24.32,24.32,24.32,1012,58,1012,959,1.97,314,2.84,100,IN,1746054402,1746101868,0,0,2025-05-01 08:14:00
804,Clouds,overcast clouds,04d,stations,10000,1746087240,19800,Dibrugarh,200,94.9084,27.4799,29.73,30.66,29.73,29.73,1010,50,1010,998,4.1,263,4.85,100,IN,1746054078,1746101608,0,0,2025-05-01 08:14:00
800,Clear,clear sky,01d,stations,10000,1746087240,19800,Dispur,200,91.8007,26.1356,35.79,34.96,35.79,35.79,1008,26,1008,988,3.97,68,4.63,0,IN,1746054937,1746102241,0,0,2025-05-01 08:14:00
800,Clear,clear sky,01d,stations,10000,1746086751,19800,Guwahati,200,91.7572,26.177,35.86,34.86,35.86,35.86,1008,25,1008,995,4.8,76,5.37,2,IN,1746054944,1746102255,0,0,2025-05-01 08:05:51
804,Clouds,overcast clouds,04d,stations,10000,1746087240,19800,Jorhat,200,94.2031,26.7575,31.61,31.73,31.61,31.61,1010,40,1010,1000,4.45,88,4.08,98,IN,1746054309,1746101716,0,0,2025-05-01 08:14:00
801,Clouds,few clouds,02d,stations,10000,1746087240,19800,Silchar,200,92.7979,24.8273,33.24,34.17,33.24,33.24,1008,40,1008,1003,1.63,287,2.02,18,IN,1746054805,1746101895,0,0,2025-05-01 08:14:00
803,Clouds,broken clouds,04d,stations,10000,1746087241,19800,Tezpur,200,92.8,26.6333,34.06,32.88,34.06,34.06,1009,27,1009,1001,5.1,96,4.7,56,IN,1746054656,1746102043,0,0,2025-05-01 08:14:01
804,Clouds,overcast clouds,04d,stations,10000,1746087241,19800,Aurangabad,200,84.3742,24.752,34.73,33.73,34.73,34.73,1007,27,1007,995,4.09,255,2.45,86,IN,1746056832,1746103911,0,0,2025-05-01 08:14:01
801,Clouds,few clouds,02d,stations,10000,1746087241,19800,Bhagalpur,200,86.9718,25.2445,36.96,35.73,36.96,36.96,1008,22,1008,1004,2.7,68,2.1,20,IN,1746056168,1746103327,0,0,2025-05-01 08:14:01
800,Clear,clear sky,01d,stations,10000,1746087241,19800,Gaya,200,85.0039,24.7969,37.55,36.29,37.55,37.55,1007,21,1007,994,3.14,61,3.61,8,IN,1746056677,1746103763,0,0,2025-05-01 08:14:01
804,Clouds,overcast clouds,04d,stations,10000,1746087241,19800,Muzaffarpur,200,85.3906,26.1226,36.49,35.31,36.49,36.49,1008,23,1008,1001,5.15,75,5.19,100,IN,1746056475,1746103779,0,0,2025-05-01 08:14:01
804,Clouds,overcast clouds,04d,stations,10000,1746087241,19800,Patna,200,85.101,25.6154,36.89,35.63,36.89,36.89,1007,22,1007,1001,1.57,84,2.67,100,IN,1746056587,1746103807,0,0,2025-05-01 08:14:01
800,Clear,clear sky,01d,stations,10000,1746087241,19800,Purnia,200,87.4737,25.7767,36.47,35.48,36.47,36.47,1008,24,1008,1004,4.11,85,3.94,0,IN,1746056004,1746103251,0,0,2025-05-01 08:14:01
800,Clear,clear sky,01d,stations,10000,1746087241,19800,Chandigarh,200,76.7884,30.7363,37.93,36.16,37.93,37.93,1007,18,1007,968,5.72,159,4.88,0,IN,1746058137,1746106246,0,0,2025-05-01 08:14:01
800,Clear,clear sky,01d,stations,10000,1746087241,19800,Bhilai,200,81.4285,21.2092,39.69,42.97,39.69,39.69,1007,31,1007,972,2.47,240,3.85,0,IN,1746057817,1746104340,0,0,2025-05-01 08:14:01
800,Clear,clear sky,01d,stations,10000,1746087241,19800,Bilaspur,200,82.1554,22.08,37.53,36.95,37.53,37.53,1007,24,1007,977,2.28,25,4.49,0,IN,1746057575,1746104232,0,0,2025-05-01 08:14:01
800,Clear,clear sky,01d,stations,10000,1746086712,19800,Raipur,200,81.6333,21.2333,39.54,44.51,39.54,39.54,1008,35,1008,973,2.38,262,4.37,0,IN,1746057766,1746104292,0,0,2025-05-01 08:05:12
